"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","672","products sort A to Z","chromium","2026-09-19","passed","2026-09-19","Product catalog","productTest.spec.ts","",""
"","201","POST /posts returns a created resource that matches the schema","api","2026-09-19","passed","2026-09-19","JSONPlaceholder API","api/jsonPlaceholder.spec.ts","",""
"","1321","products sort price low to high","firefox","2026-09-19","passed","2026-09-19","Product catalog","productTest.spec.ts","",""
"","685","products sort price high to low","chromium","2026-09-19","passed","2026-09-19","Product catalog","productTest.spec.ts","",""
"","942","standard user can complete checkout","chromium","2026-09-19","passed","2026-09-19","Checkout","checkoutTest.spec.ts","",""
"","1210","products sort A to Z","firefox","2026-09-19","passed","2026-09-19","Product catalog","productTest.spec.ts","",""
"","1662","inventory has no new WCAG A/AA violations","chromium","2026-09-19","passed","2026-09-19","Accessibility","a11y/a11y.spec.ts","",""
"","1593","user can log out","chromium","2026-09-19","passed","2026-09-19","Product catalog","productTest.spec.ts","",""
"","2822","standard user can complete checkout","firefox","2026-09-19","passed","2026-09-19","Checkout","checkoutTest.spec.ts","",""
"","1316","login has no new WCAG A/AA violations","chromium","2026-09-19","passed","2026-09-19","Accessibility > login page","a11y/a11y.spec.ts","",""
"","2273","user can log out","firefox","2026-09-19","passed","2026-09-19","Product catalog","productTest.spec.ts","",""
"","615","problem_user reaches inventory","chromium","2026-09-19","passed","2026-09-19","Login","loginTest.spec.ts","",""
"","666","user can add a product to the cart","chromium","2026-09-19","passed","2026-09-19","Product catalog","productTest.spec.ts","",""
"","932","problem_user reaches inventory","firefox","2026-09-19","passed","2026-09-19","Login","loginTest.spec.ts","",""
"","688","products sort price low to high","chromium","2026-09-19","passed","2026-09-19","Product catalog","productTest.spec.ts","",""
"","184","GET /posts/1 matches the post schema","api","2026-09-19","passed","2026-09-19","JSONPlaceholder API","api/jsonPlaceholder.spec.ts","",""
"","983","invalid credentials are rejected","firefox","2026-09-19","passed","2026-09-19","Login","loginTest.spec.ts","",""
"","2293","standard user reaches inventory","firefox","2026-09-19","passed","2026-09-19","Login","loginTest.spec.ts","",""
"","1311","products sort price high to low","firefox","2026-09-19","passed","2026-09-19","Product catalog","productTest.spec.ts","",""
"","630","standard user reaches inventory","chromium","2026-09-19","passed","2026-09-19","Login","loginTest.spec.ts","",""
"","717","products sort Z to A","chromium","2026-09-19","passed","2026-09-19","Product catalog","productTest.spec.ts","",""
"","1284","products sort Z to A","firefox","2026-09-19","passed","2026-09-19","Product catalog","productTest.spec.ts","",""
"","557","invalid credentials are rejected","chromium","2026-09-19","passed","2026-09-19","Login","loginTest.spec.ts","",""
"","884","locked_out_user cannot sign in","firefox","2026-09-19","passed","2026-09-19","Login","loginTest.spec.ts","",""
"","782","user can remove a product from the cart","chromium","2026-09-19","passed","2026-09-19","Product catalog","productTest.spec.ts","",""
"","547","locked_out_user cannot sign in","chromium","2026-09-19","passed","2026-09-19","Login","loginTest.spec.ts","",""
"","1407","user can add a product to the cart","firefox","2026-09-19","passed","2026-09-19","Product catalog","productTest.spec.ts","",""
"","91","GET /users/1 matches the user schema","api","2026-09-19","passed","2026-09-19","JSONPlaceholder API","api/jsonPlaceholder.spec.ts","",""
"","1777","user can remove a product from the cart","firefox","2026-09-19","passed","2026-09-19","Product catalog","productTest.spec.ts","",""
"","810","authenticate as standard user","setup","2026-09-19","passed","2026-09-19","","auth.setup.ts","",""
